"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638257880000,8192,2288.23046875,2155.88671875,3747.8828125,2651.751953125
1638258000000,8192,2286.115234375,2155.943359375,3749.94140625,2651.771484375
1638258120000,8192,2288.189453125,2155.94140625,3747.869140625,2651.68359375
1638258240000,8192,2288.169921875,2155.953125,3747.876953125,2651.658203125
1638258360000,8192,2288.0546875,2155.9609375,3747.984375,2651.703125
1638258480000,8192,2287.732421875,2155.98046875,3748.287109375,2651.755859375
1638258600000,8192,2287.966796875,2155.98828125,3748.044921875,2651.697265625
1638258720000,8192,2287.869140625,2155.998046875,3748.1328125,2651.71875
1638258840000,8192,2285.1875,2156.884765625,3749.927734375,2652.1875
1638258960000,8192,2285.42578125,2157.81640625,3748.755859375,2651.830078125
1638259080000,8192,2286.33984375,2157.845703125,3747.814453125,2651.693359375
1638259200000,8192,2287.37109375,2156.9140625,3747.71484375,2651.634765625
1638259320000,8192,2287.818359375,2155.9765625,3748.205078125,2651.65625
1638259440000,8192,2287.546875,2155.994140625,3748.458984375,2651.73828125
1638259560000,8192,2287.734375,2156.013671875,3748.251953125,2651.7109375
1638259680000,8192,2287.681640625,2156.083984375,3748.234375,2651.70703125
1638259800000,8192,2287.65625,2156.107421875,3748.236328125,2651.70703125
1638259920000,8192,2287.59375,2156.11328125,3748.29296875,2651.759765625
1638260040000,8192,2268.330078125,2166.8203125,3756.849609375,2651.8515625
1638260160000,8192,1981.59375,2293.673828125,3916.732421875,2652.1328125
1638260280000,8192,1772.529296875,2371.638671875,4047.83203125,2652.51953125
1638260400000,8192,1719.96484375,2424.525390625,4047.509765625,2652.44921875
1638260520000,8192,1501.3828125,2643.3671875,4047.25,2652.439453125
1638260640000,8192,1427.005859375,2717.8515625,4047.142578125,2652.287109375
1638260760000,8192,1345.119140625,2799.005859375,4047.873046875,2652.4765625
1638260880000,8192,1208.587890625,2934.01171875,4049.400390625,2652.412109375
1638261000000,8192,1094.818359375,3049.705078125,4047.4765625,2652.34375
1638261120000,8192,1058.95703125,3085.52734375,4047.515625,2652.32421875
1638261240000,8192,1024.01953125,3117.74609375,4050.234375,2652.51953125
1638261360000,8192,880.228515625,3263.7734375,4047.998046875,2652.4453125
1638261480000,8192,796.634765625,3347.6171875,4047.748046875,2652.345703125
